Unnamed: 0,Character,Japanese name,Japanese reading,School,Age,Birthday,Height,Hobbies,Designer,Illustrator,Lobby illustrator,Voiced by,Release date (JP),Image URL
,Pina,朝比奈(あさひな) フィーナ,Asahina Pina,Hyakkiyako,17,November 3,165cm,Watching yakuza movies,OSUK2,OSUK2,,Kido Ibuki,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/9/96/Pina.png/266px-Pina.png
,Rabu,河駒風(こまかぜ) ラブ,Komakaze Rabu,Trinity,16,May 6,161cm,"Polishing helmets, rummaging under vending machines",CHILD,CHILD,,Suzuki Hina,2025/10/22,https://static.wikitide.net/bluearchivewiki/thumb/0/09/Rabu.png/266px-Rabu.png
,Rei,野正(のまさ) レイ,Nomasa Rei,Millennium,15,August 9,159cm,"Spectating sports, yearbook analysis",MISOM150,MISOM150,jehyun,Inagaki Konomi,2025/03/26,https://static.wikitide.net/bluearchivewiki/thumb/a/a3/Rei.png/266px-Rei.png
,Reijo,鹿山(かやま) レイジョ,Kayama Reijo,Shanhaijing,17,March 3,169cm,"Kung fu training, gourmet food",MISOM150,MISOM150,Billbung,Suganuma Chisa,2024/09/25,https://static.wikitide.net/bluearchivewiki/thumb/4/4d/Reijo.png/266px-Reijo.png
,Reisa,宇沢(うざわ) レイサ,Uzawa Reisa,Trinity,15,May 31,153cm,"Duel proposals, self-introductions",kokosando,kokosando,kokosando,Nemoto Miyari,2023/05/10,https://static.wikitide.net/bluearchivewiki/thumb/3/34/Reisa.png/266px-Reisa.png
,Rena,衣斐(きぬい) レナ,Kinui Rena,Wildhunt,15,September 21,152cm,Making costumes and accessories,GULIM,GULIM,,Umezawa Megu,2026/03/18,https://static.wikitide.net/bluearchivewiki/thumb/7/7c/Rena.png/266px-Rena.png
,Renge,不破(ふわ) レンゲ,Fuwa Renge,Hyakkiyako,16,July 23,157cm,"Reading light novels, training",Mx2J,Mx2J,Mx2J,Koichi Makoto,2023/11/22,https://static.wikitide.net/bluearchivewiki/thumb/e/e4/Renge.png/266px-Renge.png
,Rio,調月(つかつき) リオ,Tsukatsuki Rio,Millennium,17,June 6,171cm,Design,Mx2J,Mx2J,koo3473,Lynn,2025/01/27,https://static.wikitide.net/bluearchivewiki/thumb/4/4a/Rio.png/266px-Rio.png
,Ritsu,薄葉(うすば) リツ,Usuba Ritsu,Wildhunt,15,March 6,140cm,"Smuggling, quarrying",Paruru,Paruru,,Seto Momoko,2025/10/08,https://static.wikitide.net/bluearchivewiki/thumb/c/c8/Ritsu.png/266px-Ritsu.png
,Rumi,朱城(あけしろ) ルミ,Akeshiro Rumi,Shanhaijing,17,March 5,168cm,"Cooking, food development",カンザリン (Kanzarin),カンザリン (Kanzarin),MISOM150,Aoyama Yoshino,2023/05/24,https://static.wikitide.net/bluearchivewiki/thumb/7/7d/Rumi.png/266px-Rumi.png
,Saki,空井(そらい) サキ,Sorai Saki,SRT,15,April 9,161cm,"Firearms maintenance, gathering plants, etc.",YutokaMizu,YutokaMizu,,Akane Tomonaga,2022/03/23,https://static.wikitide.net/bluearchivewiki/thumb/d/d0/Saki.png/266px-Saki.png
,Sakurako,歌住(うたずみ) サクラコ,Utazumi Sakurako,Trinity,17,October 4,160cm,Prayer,Crab D,Mx2J,MISOM150,Kakuma Ai,2023/02/10,https://static.wikitide.net/bluearchivewiki/thumb/f/f0/Sakurako.png/266px-Sakurako.png
,Saori,錠前(じょうまえ) サオリ,Joumae Saori,Arius,17,September 3,167cm,,9ml,9ml,9ml,Ishigami Shizuka,2022/08/09,https://static.wikitide.net/bluearchivewiki/thumb/4/46/Saori.png/266px-Saori.png
,Saten Ruiko,佐天(さてん) 涙子(るいこ),Saten Ruiko,Sakugawa,12,-,160cm,"Online mahjong, trying out sweets",-,ミミトケ (Mimitoke),ミミトケ (Mimitoke),Itō Kanae,2023/10/24,https://static.wikitide.net/bluearchivewiki/thumb/b/b0/Saten_Ruiko.png/266px-Saten_Ruiko.png
,Satsuki,京極(きょうごく) サツキ,Kyougoku Satsuki,Gehenna,17,April 10,172cm,"Mind control research, shopping",本田ロアロ (v_loAlo),Mx2J,nemoga,Sakurai Harumi,2024/11/20,https://static.wikitide.net/bluearchivewiki/thumb/e/e9/Satsuki.png/266px-Satsuki.png
,Saya,薬子(やくし) サヤ,Yakushi Saya,Shanhaijing,16,January 3,149cm,Research,whoisshe,whoisshe,,Tamura Yukari,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/c/ce/Saya.png/266px-Saya.png
,Seia,百合園(ゆりぞの) セイア,Yurizono Seia,Trinity,17,September 29,149cm,"Solving puzzles, reading",kokosando,kokosando,kokosando,Tanezaki Atsumi,2025/01/20,https://static.wikitide.net/bluearchivewiki/thumb/4/46/Seia.png/266px-Seia.png
,Sena,氷室(ひむろ) セナ,Himuro Sena,Gehenna,17,April 7,155cm,"Standing by, preparing medicine",イコモチ (Icomochi),イコモチ (Icomochi),,Saori Ōnishi,2022/01/30,https://static.wikitide.net/bluearchivewiki/thumb/f/f4/Sena.png/266px-Sena.png
,Serika,黒見(くろみ) セリカ,Kuromi Serika,Abydos,15,June 25,153cm,"Saving money, working part-time",Hwansang,Hwansang,,Ōhashi Ayaka,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/c/c8/Serika.png/266px-Serika.png
,Serina,鷲見(すみ) セリナ,Sumi Serina,Trinity,16,January 6,156cm,Volunteering at hospitals,RONOPU,RONOPU,,Suzumoto Akiho,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/4/41/Serina.png/266px-Serina.png
,Shigure,間宵(まよい) シグレ,Mayoi Shigure,Red Winter,16,January 22,156cm,Making homemade drinks,ミミトケ (Mimitoke),ミミトケ (Mimitoke),,Kawase Maki,2022/11/30,https://static.wikitide.net/bluearchivewiki/thumb/d/da/Shigure.png/266px-Shigure.png
,Shimiko,円堂(えんどう) シミコ,Endou Shimiko,Trinity,15,November 30,157cm,"Reading, making bookmarks",あやみ (Ayamy),あやみ (Ayamy),,Tomita Miyu,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/f/f4/Shimiko.png/266px-Shimiko.png
,Shiroko,砂狼(すなおおかみ) シロコ,Sunaookami Shiroko,Abydos,16,May 16,156cm,"Jogging, strength training, cycling",Hwansang,Hwansang,,Ogura Yui,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/6/63/Shiroko.png/266px-Shiroko.png
,Shiroko＊Terror,砂狼(すなおおかみ) シロコ,Sunaookami Shiroko＊Terror,Abydos,17,May 16,165cm,"Jogging, strength training, cycling",Doremsan2j,Doremsan2j,Mx2J,Ogura Yui,2024/07/22,https://static.wikitide.net/bluearchivewiki/thumb/f/f9/Shiroko%EF%BC%8ATerror.png/266px-Shiroko%EF%BC%8ATerror.png
,Shizuko,河和(かわわ) シズコ,Kawawa Shizuko,Hyakkiyako,16,July 7,153cm,"Serving customers with charm, attracting people into her shop",whoisshe,whoisshe,,Morinaga Chitose,2021/02/25,https://static.wikitide.net/bluearchivewiki/thumb/7/77/Shizuko.png/266px-Shizuko.png
,Shokuhou Misaki,食蜂(しょくほう) 操祈(みさき),Shokuhou Misaki,Tokiwadai,14,-,-,"Drinking tea, eating organic food",-,ミミトケ (Mimitoke),ミミトケ (Mimitoke),Azumi Asakura,2023/10/24,https://static.wikitide.net/bluearchivewiki/thumb/6/66/Shokuhou_Misaki.png/266px-Shokuhou_Misaki.png
,Shun,春原(すのはら) シュン,Sunohara Shun,Shanhaijing,Top secret,February 5,174cm,Playing with children,9ml,9ml,,Itou Shizuka,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/1/17/Shun.png/266px-Shun.png
,Subaru,梯(かけはし) スバル,Kakehashi Subaru,Arius,17,March 9,166cm,Playing harmonica,nemoga,nemoga,,Amami Yurina,2025/11/12,https://static.wikitide.net/bluearchivewiki/thumb/c/c3/Subaru.png/266px-Subaru.png
,Sumire,乙花(おとはな) スミレ,Otohana Sumire,Millennium,16,August 20,167cm,"Training, gardening",Fame,Fame,,Asami Imai,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/d/d6/Sumire.png/266px-Sumire.png
,Suzumi,守月(もりづき) スズミ,Morizuki Suzumi,Trinity,16,August 31,162cm,"Patrolling, strolling",Empew,Empew,,Shamoto Haruka,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/0/07/Suzumi.png/266px-Suzumi.png
,Takane,三善(みよし) タカネ,Miyoshi Takane,Red Winter,16,June 18,148cm,"Reading, photography, watching ice hockey",CHILD,CHILD,,Harumi Momo,2025/11/19,https://static.wikitide.net/bluearchivewiki/thumb/0/0a/Takane.png/266px-Takane.png
,Toki,飛鳥馬(あすま) トキ,Asuma Toki,Millennium,16,August 16,165cm,Presently looking for one,DoReMi,DoReMi,Owa,Ishikawa Yui,2023/02/22,https://static.wikitide.net/bluearchivewiki/thumb/e/e4/Toki.png/266px-Toki.png
,Tomoe,佐城(さしろ) トモエ,Sashiro Tomoe,Red Winter,17,November 10,165cm,Agitation,mery,mery,,Nanami Atsugi,2021/11/30,https://static.wikitide.net/bluearchivewiki/thumb/0/0a/Tomoe.png/266px-Tomoe.png
,Tsubaki,春日(かすが) ツバキ,Kasuga Tsubaki,Hyakkiyako,16,February 3,162cm,Afternoon naps,Mx2J,Mx2J,dydldidl,Saho Shirasu,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/6/6a/Tsubaki.png/266px-Tsubaki.png
,Tsukuyo,大野(おおの) ツクヨ,Oono Tsukuyo,Hyakkiyako,15,April 5,180cm,"Body replacement technique, hiding",にぎりうさぎ (Nigiri Usagi),にぎりうさぎ (Nigiri Usagi),,Ayasa Goto,2022/05/11,https://static.wikitide.net/bluearchivewiki/thumb/c/ce/Tsukuyo.png/266px-Tsukuyo.png
,Tsurugi,剣先(けんざき) ツルギ,Kenzaki Tsurugi,Trinity,17,June 24,162cm,"Watching movies, reading (romance novels)",Mx2J,Mx2J,,Kobayashi Yū,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/c/c1/Tsurugi.png/266px-Tsurugi.png
,Ui,古関(こぜき) ウイ,Kozeki Ui,Trinity,17,April 23,165cm,"Reading, book management, old book research",CHILD,CHILD,,Saori Goto,2022/02/23,https://static.wikitide.net/bluearchivewiki/thumb/1/18/Ui.png/266px-Ui.png
,Umika,里浜(さとはま) ウミカ,Satohama Umika,Hyakkiyako,15,July 1,165cm,"Going to festivals, collecting festival-related goods (pamphlets)",eno,eno,GULIM,Nitta Hiyori,2024/03/27,https://static.wikitide.net/bluearchivewiki/thumb/e/e2/Umika.png/266px-Umika.png
,Utaha,白石(しらいし) ウタハ,Shiraishi Utaha,Millennium,17,November 13,162cm,Inventing and repairing in general,やまかわ (Yamakawa),やまかわ (Yamakawa),,Aochi Nozomi,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/3/37/Utaha.png/266px-Utaha.png
,Wakamo,狐坂(こさか) ワカモ,Kosaka Wakamo,Hyakkiyako,18,April 3,161cm,"Destruction, pillaging",NAMYO,NAMYO,,Chiwa Saito,2022/01/26,https://static.wikitide.net/bluearchivewiki/thumb/a/a7/Wakamo.png/266px-Wakamo.png
,Yakumo,荒槇(あらまき) ヤクモ,Aramaki Yakumo,Red Winter,17,May 18,144cm,"Preparation of business proposals, analysis of railway routes",kokosando,kokosando,,Aono Riko,2025/11/19,https://static.wikitide.net/bluearchivewiki/thumb/b/ba/Yakumo.png/266px-Yakumo.png
,Yoshimi,伊原木(いばらぎ) ヨシミ,Ibaragi Yoshimi,Trinity,15,August 29,146cm,"All kinds of events, touring cafés for limited edition sweets",Mx2J,Mx2J,,Ayumi Mano,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/c/c2/Yoshimi.png/266px-Yoshimi.png
,Yukari,勘解由小路(かでのこうじ) ユカリ,Kadenokouji Yukari,Hyakkiyako,15,June 16,155cm,"Praying, visiting candy stores",Mx2J,Mx2J,Mx2J,Murakami Manatsu,2023/11/08,https://static.wikitide.net/bluearchivewiki/thumb/2/2b/Yukari.png/266px-Yukari.png
,Yuuka,早瀬(はやせ) ユウカ,Hayase Yuuka,Millennium,16,March 14,156cm,Calculating things,Hwansang,Hwansang,,Haruka Ran,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/3/3e/Yuuka.png/266px-Yuuka.png
,Yuzu,花岡(はなおか) ユズ,Hanaoka Yuzu,Millennium,16,August 12,150cm,Making games,YutokaMizu,YutokaMizu,,Momoka Terasawa,2021/05/13,https://static.wikitide.net/bluearchivewiki/thumb/7/71/Yuzu.png/266px-Yuzu.png
